rotation	id	translation	layers	rA	rB	vertices	edges	cross_edges	status	seconds
w[3]	w_3_25b1c470a651	((Fraction(-1, 2), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 6), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2112	14623	15082	SAT	0.681
w[3]~	w_3~_25b1c470a651	((Fraction(-1, 2), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 6), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2112	14623	15082	SAT	0.696
w[3]^2	w_3^2_b92782c79b7b	((Fraction(-1, 2), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-1, 6), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2112	14623	15082	SAT	0.686
w[3]	w_3_d8eaf409ee6a	((Fraction(1, 6), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(0, 1), Fraction(-1, 6), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.735
w[3]~	w_3~_e471ed8cf53f	((Fraction(1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(1, 12), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.713
w[3]^2	w_3^2_36b9850f32ba	((Fraction(1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(-1, 12), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.727
w[3]	w_3_93146baa074e	((Fraction(-1, 6), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(0, 1), Fraction(-1, 6), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.689
w[3]~	w_3~_43231d89635f	((Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(1, 12), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.724
w[3]^2	w_3^2_8246845d897b	((Fraction(1, 6), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(0, 1), Fraction(1, 6), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.706
w[33]~	w_33~_d4f0f303fc4f	((Fraction(283, 204), Fraction(0, 1), Fraction(0, 1), Fraction(-49, 204)), (Fraction(11, 34), Fraction(1, 12), Fraction(-1, 12), Fraction(-1, 34)))	3	1.6	1.6	2881	17244	60	SAT	1.324
w[33]	w_33_c88821eb4948	((Fraction(283, 204), Fraction(0, 1), Fraction(0, 1), Fraction(-49, 204)), (Fraction(-11, 34), Fraction(1, 12), Fraction(-1, 12), Fraction(1, 34)))	3	1.6	1.6	2881	17244	60	SAT	1.325
w[33]^2	w_33^2_f905859c0ce9	((Fraction(4517, 3468), Fraction(0, 1), Fraction(0, 1), Fraction(-245, 1156)), (Fraction(-176, 289), Fraction(1, 12), Fraction(-1, 12), Fraction(16, 289)))	3	1.6	1.6	2881	17244	60	SAT	1.258
w[3]	w_3_e471ed8cf53f	((Fraction(1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(1, 12), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.691
w[3]~	w_3~_d8eaf409ee6a	((Fraction(1, 6), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(0, 1), Fraction(-1, 6), Fraction(0, 1)))	3	1.6	1.6	2142	14917	14408	SAT	0.695
t28	t28_0b160a3f2b8f	((Fraction(473, 336), Fraction(0, 1), Fraction(0, 1), Fraction(-83, 336), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 112), Fraction(-1, 112), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.640
w[3]^2	w_3^2_d62e9dd608a8	((Fraction(1, 3), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 6), Fraction(-1, 6), Fraction(0, 1)))	3	1.6	1.6	2142	14676	13758	SAT	0.886
w[33]~	w_33~_e02fa7194d8c	((Fraction(-11, 68), Fraction(-11, 204), Fraction(-1, 68), Fraction(11, 68)), (Fraction(-11, 68), Fraction(1, 204), Fraction(1, 204), Fraction(1, 204)))	3	1.6	1.6	2881	17244	60	SAT	1.501
w[33]	w_33_f02aef4aae99	((Fraction(-11, 68), Fraction(11, 204), Fraction(1, 68), Fraction(11, 68)), (Fraction(11, 68), Fraction(1, 204), Fraction(1, 204), Fraction(-1, 204)))	3	1.6	1.6	2881	17244	60	SAT	1.565
w[33]^2	w_33^2_cf2f952248ce	((Fraction(-128, 867), Fraction(88, 867), Fraction(8, 289), Fraction(128, 867)), (Fraction(88, 289), Fraction(11, 578), Fraction(11, 578), Fraction(-8, 867)))	3	1.6	1.6	2881	17244	60	SAT	1.588
t28	t28_5e35e7e530c8	((Fraction(-37, 224), Fraction(0, 1), Fraction(0, 1), Fraction(37, 224), Fraction(1, 224), Fraction(0, 1), Fraction(0, 1), Fraction(1, 672)), (Fraction(0, 1), Fraction(1, 672), Fraction(1, 672), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 672), Fraction(1, 224), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.887
w[33]	w_33_86376436fdca	((Fraction(-109, 204), Fraction(-11, 102), Fraction(1, 34), Fraction(5, 68)), (Fraction(11, 34), Fraction(19, 204), Fraction(-19, 204), Fraction(-5, 102)))	3	1.6	1.6	2881	17244	60	SAT	1.262
w[33]~	w_33~_0be71072fa7e	((Fraction(-109, 204), Fraction(11, 102), Fraction(-1, 34), Fraction(5, 68)), (Fraction(-11, 34), Fraction(19, 204), Fraction(-19, 204), Fraction(5, 102)))	3	1.6	1.6	2881	17244	60	SAT	1.602
w[33]^2	w_33^2_f9fb055efec4	((Fraction(-1363, 3468), Fraction(-176, 867), Fraction(16, 289), Fraction(157, 3468)), (Fraction(176, 289), Fraction(421, 3468), Fraction(-421, 3468), Fraction(-80, 867)))	3	1.6	1.6	2881	17244	60	SAT	1.331
t28	t28_1c6a9f56939c	((Fraction(-191, 336), Fraction(0, 1), Fraction(0, 1), Fraction(9, 112), Fraction(1, 112), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 336)), (Fraction(0, 1), Fraction(29, 336), Fraction(-29, 336), Fraction(0, 1), Fraction(0, 1), Fraction(-5, 336), Fraction(1, 112), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.686
w[33]	w_33_cfc086fdad51	((Fraction(-61, 51), Fraction(-11, 204), Fraction(1, 68), Fraction(4, 51)), (Fraction(11, 68), Fraction(-25, 102), Fraction(25, 102), Fraction(-11, 204)))	3	1.6	1.6	2881	17244	54	SAT	1.365
w[33]~	w_33~_60739a092cb2	((Fraction(-61, 51), Fraction(11, 204), Fraction(-1, 68), Fraction(4, 51)), (Fraction(-11, 68), Fraction(-25, 102), Fraction(25, 102), Fraction(11, 204)))	3	1.6	1.6	2881	17244	54	SAT	1.330
w[33]^2	w_33^2_23a4e042fe1e	((Fraction(-1203, 1156), Fraction(-88, 867), Fraction(8, 289), Fraction(223, 3468)), (Fraction(88, 289), Fraction(-267, 1156), Fraction(267, 1156), Fraction(-88, 867)))	3	1.6	1.6	2881	17244	54	SAT	1.478
t28	t28_08e7f4610f66	((Fraction(-829, 672), Fraction(0, 1), Fraction(0, 1), Fraction(55, 672), Fraction(1, 224), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 672)), (Fraction(0, 1), Fraction(-167, 672), Fraction(167, 672), Fraction(0, 1), Fraction(0, 1), Fraction(-11, 672), Fraction(1, 224), Fraction(0, 1)))	3	1.6	1.6	2881	17244	54	SAT	1.819
w[5]	w_5_70f460b40185	((Fraction(-5, 36), Fraction(0, 1), Fraction(0, 1), Fraction(1, 36), Fraction(0, 1), Fraction(5, 36), Fraction(1, 36), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 36), Fraction(-1, 36), Fraction(0, 1), Fraction(1, 36), Fraction(0, 1), Fraction(0, 1), Fraction(1, 36)))	3	1.6	1.6	2881	17248	64	SAT	1.576
w[5]^2	w_5^2_1bf6c6236807	((Fraction(31, 36), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-7, 108), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(2, 9), Fraction(0, 1), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-2, 27)))	3	1.6	1.6	2881	17244	60	SAT	1.513
w[5]~	w_5~_616f3b732cf8	((Fraction(-5, 36), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 36), Fraction(0, 1), Fraction(5, 36), Fraction(-1, 36), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 36), Fraction(1, 36), Fraction(0, 1), Fraction(1, 36), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 36)))	3	1.6	1.6	2881	17248	64	SAT	1.678
w[5]	w_5_00fb9dff478f	((Fraction(5, 4), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-7, 36), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(1, 6), Fraction(0, 1), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 18)))	3	1.6	1.6	2881	17247	63	SAT	1.583
w[5]^2	w_5^2_306ab6ef10da	((Fraction(-2, 27), Fraction(0, 1), Fraction(0, 1), Fraction(1, 27), Fraction(0, 1), Fraction(2, 27), Fraction(1, 27), Fraction(0, 1)), (Fraction(0, 1), Fraction(5, 54), Fraction(-1, 27), Fraction(0, 1), Fraction(5, 54), Fraction(0, 1), Fraction(0, 1), Fraction(1, 27)))	3	1.6	1.6	2881	17244	60	SAT	1.606
w[5]~	w_5~_654a73c40bdd	((Fraction(5, 4), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-7, 36), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(-1, 6), Fraction(0, 1), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 18)))	3	1.6	1.6	2881	17247	63	SAT	1.566
w[5]	w_5_731b067a614d	((Fraction(-11, 36), Fraction(0, 1), Fraction(0, 1), Fraction(1, 18), Fraction(0, 1), Fraction(1, 36), Fraction(-1, 18), Fraction(0, 1)), (Fraction(0, 1), Fraction(5, 36), Fraction(-5, 18), Fraction(0, 1), Fraction(-5, 36), Fraction(0, 1), Fraction(0, 1), Fraction(1, 18)))	3	1.6	1.6	2881	17247	63	SAT	1.610
w[5]^2	w_5^2_3c40e5d1892e	((Fraction(37, 108), Fraction(0, 1), Fraction(0, 1), Fraction(2, 27), Fraction(0, 1), Fraction(-11, 108), Fraction(-2, 27), Fraction(0, 1)), (Fraction(0, 1), Fraction(29, 108), Fraction(-10, 27), Fraction(0, 1), Fraction(-29, 108), Fraction(0, 1), Fraction(0, 1), Fraction(2, 27)))	3	1.6	1.6	2881	17244	60	SAT	1.559
w[5]~	w_5~_6d376184a642	((Fraction(-11, 36), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 18), Fraction(0, 1), Fraction(1, 36), Fraction(1, 18), Fraction(0, 1)), (Fraction(0, 1), Fraction(5, 36), Fraction(5, 18), Fraction(0, 1), Fraction(-5, 36), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 18)))	3	1.6	1.6	2881	17247	63	SAT	1.647
w[55]	w_55_cf9637424c62	((Fraction(-25, 16), Fraction(-5, 336), Fraction(0, 1), Fraction(0, 1), Fraction(1, 112), Fraction(29, 336), Fraction(0, 1), Fraction(0, 1)), (Fraction(-1, 48), Fraction(191, 336), Fraction(0, 1), Fraction(0, 1), Fraction(-27, 112), Fraction(-1, 336), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	30	SAT	0.696
