[1/325] {'graphs': 1, 'dags': 8226292, 'profile_dags': 6721216, 'ss_skip': 5601076, 'packed_cegar': 1120140, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=248s
[2/325] {'graphs': 2, 'dags': 14353012, 'profile_dags': 12059788, 'ss_skip': 8377740, 'packed_cegar': 3682048, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=900s
[3/325] {'graphs': 3, 'dags': 19979080, 'profile_dags': 16992268, 'ss_skip': 10927564, 'packed_cegar': 6064704, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1492s
[4/325] {'graphs': 4, 'dags': 27366756, 'profile_dags': 23158932, 'ss_skip': 15558088, 'packed_cegar': 7600844, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1856s
[5/325] {'graphs': 5, 'dags': 33931368, 'profile_dags': 28782864, 'ss_skip': 19048536, 'packed_cegar': 9734328, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=2369s
[6/325] {'graphs': 6, 'dags': 40550452, 'profile_dags': 34445248, 'ss_skip': 22601728, 'packed_cegar': 11843520, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=2882s
[7/325] {'graphs': 7, 'dags': 47514108, 'profile_dags': 40359492, 'ss_skip': 26412788, 'packed_cegar': 13946704, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=3377s
[8/325] {'graphs': 8, 'dags': 54503376, 'profile_dags': 46287168, 'ss_skip': 30277812, 'packed_cegar': 16009356, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=3859s
[9/325] {'graphs': 9, 'dags': 60204872, 'profile_dags': 51246236, 'ss_skip': 33139190, 'packed_cegar': 18107046, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=4439s
[10/325] {'graphs': 10, 'dags': 67055308, 'profile_dags': 57053416, 'ss_skip': 37104610, 'packed_cegar': 19948806, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=4893s
[11/325] {'graphs': 11, 'dags': 73887304, 'profile_dags': 62866516, 'ss_skip': 40854326, 'packed_cegar': 22012190, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=5332s
[12/325] {'graphs': 12, 'dags': 81244964, 'profile_dags': 69020204, 'ss_skip': 45411944, 'packed_cegar': 23608260, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=5696s
