66 UNKNOWN classes, tl=600
t=5,r=0: 24 orbits -> UNSAT
t=5,r=4: 24 orbits -> UNSAT
t=5,r=8: 24 orbits -> UNSAT
t=5,r=12: 24 orbits -> UNSAT
t=5,r=16: 24 orbits -> UNSAT
t=5,r=20: 24 orbits -> UNSAT
t=5,r=24: 24 orbits -> UNSAT
t=5,r=28: 24 orbits -> UNSAT
t=5,r=32: 24 orbits -> UNSAT
t=5,r=36: 24 orbits -> UNSAT
t=5,r=40: 24 orbits -> UNSAT
t=5,r=44: 24 orbits -> UNSAT
t=5,r=48: 24 orbits -> UNSAT
t=5,r=52: 24 orbits -> UNSAT
t=5,r=56: 24 orbits -> UNSAT
t=5,r=60: 24 orbits -> UNSAT
t=5,r=64: 24 orbits -> UNSAT
t=5,r=68: 24 orbits -> UNSAT
t=5,r=72: 24 orbits -> UNSAT
t=5,r=76: 24 orbits -> UNSAT
t=5,r=80: 24 orbits -> UNSAT
t=5,r=84: 24 orbits -> UNSAT
t=5,r=88: 24 orbits -> UNSAT
t=5,r=92: 24 orbits -> UNSAT
t=5,r=96: 24 orbits -> UNSAT
t=5,r=100: 24 orbits -> UNSAT
t=5,r=104: 24 orbits -> UNSAT
t=5,r=108: 24 orbits -> UNSAT
t=5,r=112: 24 orbits -> UNSAT
t=5,r=116: 24 orbits -> UNSAT
t=5,r=120: 24 orbits -> UNSAT
t=5,r=124: 24 orbits -> UNSAT
t=5,r=128: 24 orbits -> UNSAT
t=25,r=0: 36 orbits -> UNKNOWN
t=25,r=12: 36 orbits -> UNKNOWN
t=25,r=24: 36 orbits -> UNKNOWN
t=25,r=36: 36 orbits -> UNKNOWN
t=25,r=48: 36 orbits -> UNKNOWN
t=25,r=60: 36 orbits -> UNKNOWN
t=25,r=72: 36 orbits -> UNKNOWN
t=25,r=84: 36 orbits -> UNKNOWN
t=25,r=96: 36 orbits -> UNKNOWN
t=25,r=108: 36 orbits -> UNKNOWN
t=25,r=120: 36 orbits -> UNKNOWN
t=31,r=0: 27 orbits -> UNSAT
t=31,r=6: 27 orbits -> UNSAT
t=31,r=12: 27 orbits -> UNSAT
t=31,r=18: 27 orbits -> UNSAT
t=31,r=24: 27 orbits -> UNSAT
t=31,r=30: 27 orbits -> UNSAT
t=31,r=36: 27 orbits -> UNSAT
t=31,r=42: 27 orbits -> UNSAT
t=31,r=48: 27 orbits -> UNSAT
t=31,r=54: 27 orbits -> UNSAT
t=31,r=60: 27 orbits -> UNSAT
t=31,r=66: 27 orbits -> UNSAT
t=31,r=72: 27 orbits -> UNSAT
t=31,r=78: 27 orbits -> UNSAT
t=31,r=84: 27 orbits -> UNSAT
t=31,r=90: 27 orbits -> UNSAT
t=31,r=96: 27 orbits -> UNSAT
t=31,r=102: 27 orbits -> UNSAT
t=31,r=108: 27 orbits -> UNSAT
t=31,r=114: 27 orbits -> UNSAT
t=31,r=120: 27 orbits -> UNSAT
t=31,r=126: 27 orbits -> UNSAT
RETRY DONE {'UNSAT': 55, 'UNKNOWN': 11}
