it=0 best=16 n=26 L=18 edges=[(0, 3), (0, 18), (0, 19), (1, 5), (1, 6), (1, 20), (2, 20), (4, 9), (5, 12), (5, 13), (5, 14), (5, 16), (5, 23), (5, 24), (6, 8), (6, 14), (6, 15), (7, 17), (7, 20), (7, 22), (8, 10), (9, 11), (10, 12), (11, 12), (11, 25), (12, 18), (15, 20), (16, 19), (16, 21), (16, 25), (17, 22), (18, 22), (20, 22)]
it=0 cur=16 best=16 T=2.00 elapsed=0s
it=38 best=14 n=26 L=16 edges=[(0, 3), (0, 18), (0, 19), (0, 20), (1, 5), (1, 6), (1, 20), (2, 7), (2, 20), (4, 9), (5, 12), (5, 13), (5, 16), (5, 24), (6, 8), (6, 14), (6, 15), (7, 17), (8, 10), (9, 11), (11, 12), (12, 18), (15, 20), (15, 24), (16, 21), (16, 23), (16, 25), (17, 20), (17, 22), (17, 24), (18, 22), (20, 22)]
it=42 best=12 n=26 L=15 edges=[(0, 3), (0, 18), (0, 19), (0, 20), (1, 5), (1, 6), (1, 20), (2, 7), (2, 20), (4, 9), (5, 12), (5, 13), (5, 16), (5, 24), (6, 8), (6, 14), (6, 15), (7, 17), (8, 10), (9, 11), (11, 12), (12, 18), (15, 20), (16, 21), (16, 25), (17, 20), (17, 22), (17, 24), (18, 22), (20, 22), (20, 23)]
it=73 best=8 n=26 L=14 edges=[(0, 1), (0, 3), (0, 19), (1, 5), (1, 12), (1, 20), (2, 7), (4, 9), (5, 7), (5, 13), (5, 16), (5, 24), (6, 8), (6, 14), (6, 15), (6, 18), (7, 17), (8, 10), (8, 11), (9, 11), (11, 12), (12, 22), (15, 20), (16, 21), (16, 25), (17, 20), (17, 22), (17, 24), (18, 22), (20, 22), (20, 23)]
it=133 best=6 n=26 L=12 edges=[(0, 3), (0, 19), (1, 5), (1, 12), (2, 7), (3, 20), (4, 9), (5, 7), (5, 13), (5, 16), (5, 23), (5, 24), (6, 8), (6, 14), (6, 15), (7, 17), (8, 10), (8, 16), (9, 11), (10, 24), (11, 12), (12, 22), (16, 21), (16, 25), (17, 24), (18, 22), (20, 23)]
it=139 best=1 n=26 L=10 edges=[(0, 3), (0, 19), (1, 5), (1, 12), (2, 7), (3, 20), (4, 9), (5, 7), (5, 13), (5, 23), (5, 24), (6, 8), (6, 14), (6, 15), (7, 17), (8, 10), (8, 16), (9, 11), (9, 12), (10, 24), (11, 12), (12, 22), (16, 21), (16, 25), (18, 22), (20, 23)]
it=200 cur=1 best=1 T=2.00 elapsed=1s
it=400 cur=1 best=1 T=1.99 elapsed=1s
it=600 cur=1 best=1 T=1.99 elapsed=2s
it=800 cur=1 best=1 T=1.99 elapsed=2s
it=1000 cur=1 best=1 T=1.98 elapsed=2s
it=1200 cur=1 best=1 T=1.98 elapsed=2s
it=1400 cur=1 best=1 T=1.98 elapsed=2s
it=1600 cur=1 best=1 T=1.97 elapsed=2s
it=1800 cur=1 best=1 T=1.97 elapsed=2s
it=2000 cur=1 best=1 T=1.97 elapsed=2s
it=2200 cur=1 best=1 T=1.96 elapsed=3s
it=2400 cur=1 best=1 T=1.96 elapsed=3s
it=2600 cur=1 best=1 T=1.96 elapsed=3s
it=2800 cur=1 best=1 T=1.95 elapsed=3s
it=3000 cur=1 best=1 T=1.95 elapsed=3s
it=3200 cur=1 best=1 T=1.95 elapsed=3s
it=3400 cur=1 best=1 T=1.94 elapsed=3s
it=3600 cur=1 best=1 T=1.94 elapsed=4s
it=3800 cur=1 best=1 T=1.94 elapsed=4s
it=4000 cur=1 best=1 T=1.93 elapsed=4s
it=4200 cur=1 best=1 T=1.93 elapsed=4s
it=4400 cur=1 best=1 T=1.93 elapsed=4s
it=4600 cur=1 best=1 T=1.92 elapsed=4s
it=4800 cur=1 best=1 T=1.92 elapsed=4s
it=5000 cur=1 best=1 T=1.92 elapsed=4s
it=5200 cur=1 best=1 T=1.91 elapsed=5s
it=5400 cur=1 best=1 T=1.91 elapsed=5s
it=5600 cur=1 best=1 T=1.91 elapsed=5s
it=5800 cur=1 best=1 T=1.90 elapsed=5s
it=6000 cur=1 best=1 T=1.90 elapsed=5s
it=6200 cur=1 best=1 T=1.90 elapsed=5s
it=6400 cur=1 best=1 T=1.89 elapsed=5s
it=6600 cur=1 best=1 T=1.89 elapsed=5s
it=6800 cur=1 best=1 T=1.89 elapsed=5s
it=7000 cur=1 best=1 T=1.88 elapsed=5s
it=7200 cur=1 best=1 T=1.88 elapsed=6s
it=7400 cur=1 best=1 T=1.88 elapsed=6s
it=7600 cur=1 best=1 T=1.87 elapsed=6s
it=7800 cur=1 best=1 T=1.87 elapsed=6s
it=8000 cur=1 best=1 T=1.87 elapsed=6s
it=8200 cur=1 best=1 T=1.86 elapsed=6s
it=8400 cur=1 best=1 T=1.86 elapsed=6s
it=8600 cur=1 best=1 T=1.86 elapsed=6s
it=8800 cur=1 best=1 T=1.85 elapsed=6s
it=9000 cur=1 best=1 T=1.85 elapsed=7s
it=9200 cur=1 best=1 T=1.85 elapsed=7s
it=9400 cur=1 best=1 T=1.84 elapsed=7s
it=9600 cur=1 best=1 T=1.84 elapsed=7s
it=9800 cur=1 best=1 T=1.84 elapsed=7s
it=10000 cur=1 best=1 T=1.83 elapsed=7s
it=10200 cur=1 best=1 T=1.83 elapsed=7s
it=10400 cur=1 best=1 T=1.83 elapsed=7s
