nohup: ignoring input
n=11 cnt=5000 elapsed=30s
n=11 cnt=10000 elapsed=76s
n=11 cnt=15000 elapsed=161s
n=11 cnt=20000 elapsed=205s
n=11 cnt=25000 elapsed=252s
n=11 cnt=30000 elapsed=308s
n=11 cnt=35000 elapsed=378s
n=11 cnt=40000 elapsed=451s
n=11 cnt=45000 elapsed=513s
n=11 cnt=50000 elapsed=614s
n=11 cnt=55000 elapsed=636s
n=11 cnt=60000 elapsed=665s
n=11 cnt=65000 elapsed=698s
n=11 cnt=70000 elapsed=727s
n=11 cnt=75000 elapsed=757s
n=11 cnt=80000 elapsed=789s
n=11 cnt=85000 elapsed=821s
n=11 cnt=90000 elapsed=858s
n=11 cnt=95000 elapsed=897s
n=11 cnt=100000 elapsed=925s
n=11 cnt=105000 elapsed=956s
n=11 cnt=110000 elapsed=991s
n=11 cnt=115000 elapsed=1026s
n=11 cnt=120000 elapsed=1062s
n=11 cnt=125000 elapsed=1094s
n=11 cnt=130000 elapsed=1117s
n=11 cnt=135000 elapsed=1142s
n=11 cnt=140000 elapsed=1170s
n=11 cnt=145000 elapsed=1197s
n=11 cnt=150000 elapsed=1235s
n=11 cnt=155000 elapsed=1289s
n=11 cnt=160000 elapsed=1321s
n=11 cnt=165000 elapsed=1358s
n=11 cnt=170000 elapsed=1399s
n=11 cnt=175000 elapsed=1440s
n=11 cnt=180000 elapsed=1482s
n=11 cnt=185000 elapsed=1517s
n=11 cnt=190000 elapsed=1550s
n=11 cnt=195000 elapsed=1587s
n=11 cnt=200000 elapsed=1633s
n=11 cnt=205000 elapsed=1666s
n=11 cnt=210000 elapsed=1719s
n=11 cnt=215000 elapsed=1767s
n=11 cnt=220000 elapsed=1819s
n=11 cnt=225000 elapsed=1869s
n=11 cnt=230000 elapsed=1915s
n=11 cnt=235000 elapsed=1961s
n=11 cnt=240000 elapsed=2008s
n=11 cnt=245000 elapsed=2059s
n=11 cnt=250000 elapsed=2113s
n=11 cnt=255000 elapsed=2166s
n=11 cnt=260000 elapsed=2220s
n=11 cnt=265000 elapsed=2276s
n=11 cnt=270000 elapsed=2323s
n=11 cnt=275000 elapsed=2363s
n=11 cnt=280000 elapsed=2394s
n=11 cnt=285000 elapsed=2424s
n=11 cnt=290000 elapsed=2457s
n=11 cnt=295000 elapsed=2488s
n=11 cnt=300000 elapsed=2520s
n=11 cnt=305000 elapsed=2553s
n=11 cnt=310000 elapsed=2587s
n=11 cnt=315000 elapsed=2622s
n=11 cnt=320000 elapsed=2655s
n=11 cnt=325000 elapsed=2688s
n=11 cnt=330000 elapsed=2722s
n=11 cnt=335000 elapsed=2753s
n=11 cnt=340000 elapsed=2786s
n=11 cnt=345000 elapsed=2819s
n=11 cnt=350000 elapsed=2853s
n=11 cnt=355000 elapsed=2884s
n=11 cnt=360000 elapsed=2917s
n=11 cnt=365000 elapsed=2948s
n=11 cnt=370000 elapsed=2978s
n=11 cnt=375000 elapsed=3008s
n=11 cnt=380000 elapsed=3039s
n=11 cnt=385000 elapsed=3072s
n=11 cnt=390000 elapsed=3110s
n=11 cnt=395000 elapsed=3145s
n=11 cnt=400000 elapsed=3178s
n=11 cnt=405000 elapsed=3213s
n=11 cnt=410000 elapsed=3247s
n=11 cnt=415000 elapsed=3282s
n=11 cnt=420000 elapsed=3320s
n=11 cnt=425000 elapsed=3353s
n=11 cnt=430000 elapsed=3390s
n=11 cnt=435000 elapsed=3427s
n=11 cnt=440000 elapsed=3465s
n=11 cnt=445000 elapsed=3503s
n=11 cnt=450000 elapsed=3542s
n=11 cnt=455000 elapsed=3579s
n=11 cnt=460000 elapsed=3614s
n=11 cnt=465000 elapsed=3651s
n=11 cnt=470000 elapsed=3691s
n=11 cnt=475000 elapsed=3723s
n=11 cnt=480000 elapsed=3752s
