[50/20000] {'OK': 47, 'TIGHT': 3, 'CE': 0} 7s
[100/20000] {'OK': 94, 'TIGHT': 6, 'CE': 0} 16s
[150/20000] {'OK': 141, 'TIGHT': 9, 'CE': 0} 23s
[200/20000] {'OK': 187, 'TIGHT': 13, 'CE': 0} 31s
[250/20000] {'OK': 234, 'TIGHT': 16, 'CE': 0} 39s
[300/20000] {'OK': 281, 'TIGHT': 19, 'CE': 0} 48s
[350/20000] {'OK': 326, 'TIGHT': 24, 'CE': 0} 56s
[400/20000] {'OK': 372, 'TIGHT': 28, 'CE': 0} 66s
[450/20000] {'OK': 419, 'TIGHT': 31, 'CE': 0} 75s
[500/20000] {'OK': 466, 'TIGHT': 34, 'CE': 0} 83s
[550/20000] {'OK': 512, 'TIGHT': 38, 'CE': 0} 93s
[600/20000] {'OK': 557, 'TIGHT': 43, 'CE': 0} 103s
[650/20000] {'OK': 604, 'TIGHT': 46, 'CE': 0} 114s
[700/20000] {'OK': 651, 'TIGHT': 49, 'CE': 0} 122s
[750/20000] {'OK': 698, 'TIGHT': 52, 'CE': 0} 133s
[800/20000] {'OK': 745, 'TIGHT': 55, 'CE': 0} 143s
[850/20000] {'OK': 792, 'TIGHT': 58, 'CE': 0} 152s
[900/20000] {'OK': 839, 'TIGHT': 61, 'CE': 0} 163s
[950/20000] {'OK': 884, 'TIGHT': 66, 'CE': 0} 174s
[1000/20000] {'OK': 930, 'TIGHT': 70, 'CE': 0} 183s
[1050/20000] {'OK': 975, 'TIGHT': 75, 'CE': 0} 195s
[1100/20000] {'OK': 1021, 'TIGHT': 79, 'CE': 0} 204s
[1150/20000] {'OK': 1068, 'TIGHT': 82, 'CE': 0} 215s
[1200/20000] {'OK': 1113, 'TIGHT': 87, 'CE': 0} 225s
[1250/20000] {'OK': 1158, 'TIGHT': 92, 'CE': 0} 231s
[1300/20000] {'OK': 1203, 'TIGHT': 97, 'CE': 0} 241s
[1350/20000] {'OK': 1249, 'TIGHT': 101, 'CE': 0} 249s
